"7R2",2014,"F","33V","01K","Q1012","Q1071"
"8G9",2009,"F","26V","01K","Q1012","Q1071"
"2S2",2014,"F","91V","01K","Q1012","Q1071"
"8G1",2009,"M","51T","01K","Q1012","Q1071"
"0C6",2006,"F","42L","01K","Q1021","Q1071"
"52Z",2005,"F","78I","01K","Q1071","Q1071"
"7D7",2007,"M","78T","02F","Q1050","Q1053"
"7A3",2005,"F","64D","02F","Q1050","Q1053"
"5E9",2008,"F","K04","02F","Q1050","Q1053"
"8F2",2008,"F","42B","02F","Q1050","Q1053"
"0G8",2008,"M","55H","02F","Q1050","Q1053"
"1H1",2009,"F","82A","02F","Q1050","Q1053"
"5J4",2010,"M","Z08","02F","Q1021","Q1053"
"5D9",2007,"F","X17","02F","Q1050","Q1053"
"5B4",2006,"F","55A","02F","Q1056","Q1053"
"91Z",2005,"M","28J","02F","Q1050","Q1053"
"8J7",2010,"M","28J","02F","Q1050","Q1053"
"0K4",2010,"F","43F","02R","Q1050","Q1071"
"8K8",2011,"M","56R","02R","Q1053","Q1071"
"4N7",2012,"M","77S","02R","Q1046","Q1071"
"2I6",2010,"M","0C6","02R","Q1021","Q1071"
"1L9",2011,"M","V80","02R","Q1053","Q1071"
"4N1",2012,"F","90P","02R","Q1021","Q1071"
"1J8",2010,"M","82A","02R","Q1050","Q1071"
"3N9",2012,"M","20S","02R","Q1046","Q1071"
"5J5",2010,"M","V72","02R","Q1053","Q1071"
"6K3",2011,"M","21K","02R","Q1021","Q1071"
"5K8",2011,"M","28G","02R","Q1021","Q1071"
"3L6",2011,"M","20S","02R","Q1046","Q1071"
"I143J4",2014,"F","3J4","02R","Q1083","Q1071"
"1L8",2011,"F","6B4","02R","Q1056","Q1071"
"4Q3",2014,"F","96A","02R","Q1012","Q1071"
"5N1",2012,"F","39Z","02R","Q1053","Q1071"
"3L5",2011,"M","35O","02R","Q1056","Q1071"
"4N6",2012,"F","21K","02R","Q1021","Q1071"
"3L8",2011,"M","55A","02R","Q1056","Q1071"
"I1255A",2012,"F","55A","02R","Q1056","Q1071"
"3N4",2012,"F","3A9","02R","Q1056","Q1071"
"6J9",2010,"M","16S","02R","Q1048","Q1071"
"9I7",2010,"F","55R","02R","Q1056","Q1071"
"3N5",2012,"M","36O","02R","Q1053","Q1071"
"7E3",2008,"F","48V","02R","Q1046","Q1071"
"2H2",2009,"M","35N","02R","Q1050","Q1071"
"7H7",2009,"F","68J","02R","Q1050","Q1071"
"5H4",2009,"F","21V","02R","Q1053","Q1071"
"0P8",2013,"M","4F5","02R","Q1012","Q1071"
"5G5",2009,"M","X97","02R","Q1021","Q1071"
"2H5",2009,"M","43J","02R","Q1050","Q1071"
"1P1",2013,"M","5F7","02R","Q1012","Q1071"
"7H9",2009,"M","0A4","02R","Q1050","Q1071"
"6E6",2008,"M","42V","02R","Q1056","Q1071"
"2H3",2009,"F","28N","02R","Q1021","Q1071"
"9E5",2008,"M","16S","02R","Q1048","Q1071"
"4N5",2012,"F","94S","02R","Q1056","Q1071"
"0H8",2009,"M","X17","02R","Q1050","Q1071"
"I12V80",2012,"F","V80","02R","Q1053","Q1071"
"1R9",2014,"M","4H1","02R","Q1012","Q1071"
"4F0",2008,"F","51T","02R","Q1012","Q1071"
"9O1",2013,"F","7C8","02R","Q1012","Q1071"
"5N0",2012,"F","8E2","02R","Q1056","Q1071"
"7J3",2010,"F","48J","02Z","Q1056","Q1053"
"I1038E",2010,"M","38E","03D","Q1066","Q1083"
"3B1",2006,"F","X91","03D","Q1066","Q1083"
"5F4",2008,"M","35F","03N","Q1012","Q1021"
"0H2",2009,"F","62R","03N","Q1053","Q1021"
"4H3",2009,"F","98V","03N","Q1083","Q1021"
"3G0",2009,"F","75L","03N","Q1012","Q1021"
"1P0",2013,"F","5H4","03N","Q1053","Q1021"
"7F6",2008,"M","91A","03N","Q1012","Q1021"
"I0809Z",2008,"F","09Z","03N","Q1012","Q1021"
"6H4",2009,"M","88R","03N","Q1053","Q1021"
"2J7",2010,"F","62R","03N","Q1053","Q1021"
"0D4",2007,"F","86C","03N","Q1021","Q1021"
"7F3",2008,"F","76L","03N","Q1012","Q1021"
"9D6",2007,"M","67G","03N","Q1050","Q1021"
"8C5",2007,"F","43F","03N","Q1050","Q1021"
"7M7",2012,"M","2B4","03N","Q1083","Q1021"
"1K8",2010,"F","Z82","03T","Q1083","Q1012"
"7I1",2010,"F","55V","04I","Q1021","Q1053"
"8N9",2012,"F","78T","04I","Q1050","Q1053"
"8B4",2006,"F","86C","04I","Q1021","Q1053"
"2E1",2007,"F","01P","04I","Q1021","Q1053"
"I1034N",2010,"F","34N","04I","Q1021","Q1053"
"9D4",2007,"F","64D","04I","Q1050","Q1053"
"0D1",2007,"F","48N","04I","Q1012","Q1053"
"1D2",2007,"F","11I","04I","Q1050","Q1053"
"3K3",2011,"M","52P","04I","Q1050","Q1053"
"I1210S",2012,"F","10S","04I","Q1050","Q1053"
"0R5",2014,"M","60P","04I","Q1050","Q1053"
"0G0",2008,"F","V65","04I","Q1021","Q1053"
"7R5",2014,"F","9H7","04I","Q1021","Q1053"
"9L4",2011,"M","03J","04T","Q1053","Q1012"
"1N6",2012,"M","50I","04T","Q1021","Q1012"
"2L7",2011,"M","29B","04T","Q1053","Q1012"
"2N8",2012,"M","73B","04T","Q1050","Q1012"
"6P4",2013,"F","0I5","04Z","Q1021","Q1083"
"6P7",2013,"F","7H8","04Z","Q1021","Q1083"
"6K0",2011,"M","2E1","04Z","Q1021","Q1083"
"9N0",2012,"F","5D4","04Z","Q1046","Q1083"
"8L5",2011,"M","3A9","04Z","Q1056","Q1083"
"3S0",2014,"F","2H3","04Z","Q1021","Q1083"
"0K7",2010,"F","79Z","05I","Q1021","Q1056"
"6C4",2006,"F","35J","05I","Q1012","Q1056"
"2D0",2007,"M","X37","05I","Q1012","Q1056"
"4B0",2006,"M","35F","05I","Q1012","Q1056"
"4B7",2006,"M","22S","05I","Q1066","Q1056"
"1M9",2012,"M","8F0","05Z","Q1066","Q1053"
"6I5",2010,"F","21K","06O","Q1021","Q1056"
"4N3",2012,"M","5B4","06O","Q1056","Q1056"
"8K4",2011,"F","77S","06O","Q1046","Q1056"
"4G3",2009,"F","01B","06O","Q1021","Q1056"
"4G5",2009,"M","56R","06O","Q1053","Q1056"
"6J0",2010,"F","X17","06O","Q1050","Q1056"
"6N2",2012,"M","0C6","06O","Q1021","Q1056"
"5I3",2010,"M","56R","06O","Q1053","Q1056"
"2G6",2009,"M","62S","06O","Q1046","Q1056"
"3G6",2009,"M","19J","06O","Q1046","Q1056"
"8D5",2007,"F","X97","07D","Q1021","Q1012"
"2L8",2011,"F","17C","07D","Q1050","Q1012"
"54Z",2005,"M","79C","07D","Q1050","Q1012"
"2N7",2012,"M","28N","07D","Q1021","Q1012"
"1A9",2005,"F","04N","07D","Q1050","Q1012"
"1R4",2014,"F","36O","07D","Q1053","Q1012"
"1E5",2007,"M","50I","07D","Q1021","Q1012"
"1E3",2007,"F","71J","07D","Q1021","Q1012"
"8B6",2006,"F","X17","07D","Q1050","Q1012"
"7C6",2007,"F","Z15","07D","Q1050","Q1012"
"4P4",2013,"F","2D1","07D","Q1083","Q1012"
"73Z",2005,"M","30O","07D","Q1050","Q1012"
"9A3",2005,"M","H74","07D","Q1050","Q1012"
